graph6 string,levelable,minimized solution
G???F{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 8.0]"
G??CFw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 6.0]"
G??CF{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 7.0]"
G??EDw,F,NA
G??E@{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0]"
G??EFw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0]"
G??ED{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 6.0]"
G??EF{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 7.0]"
G??FCw,F,NA
G??F?{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0]"
G??FEw,F,NA
G??FC{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 5.0]"
G??FFw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0]"
G??FE{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 6.0]"
G??FF{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 7.0]"
G??FeW,F,NA
G??FfW,F,NA
G??Fe[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 5.0]"
G??Ffw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 3.0]"
G??Ff[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 6.0]"
G??Ff{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 7.0]"
G??Fvg,F,NA
G??Fvw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 6.0, 2.0]"
G??Fvk,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 6.0, 6.0]"
G??Fv{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 6.0, 7.0]"
G??F~w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 6.0, 2.0]"
G??F~{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 7.0, 7.0]"
G?AAFo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
G?AAFw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
G?AAF{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 6.0]"
G?AEDo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
G?AEBo,F,NA
G?AEFo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
G?AEDw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
G?AEBw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
G?AEDs,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
G?AEFw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
G?AEFs,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
G?AEF{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 6.0]"
