graph6string,levelable,minimized solution
H????B~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 9.0]"
H????F|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 7.0]"
H????F~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 8.0]"
H???GFx,F,NA
H????Nx,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 6.0]"
H????N},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 6.0]"
H????Nz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 7.0]"
H????N~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 8.0]"
H????^q,F,NA
H????^p,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 5.0]"
H????^u,F,NA
H????^r,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 6.0]"
H????^},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 5.0]"
H????^v,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 7.0]"
H????^~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 8.0]"
H????~a,F,NA
H????~e,F,NA
H????~b,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 5.0]"
H????~m,F,NA
H????~f,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 6.0]"
H????~},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 4.0]"
H????~n,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 7.0]"
H????~~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 8.0]"
H???@~M,F,NA
H???@~],F,NA
H???@~N,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 6.0, 6.0]"
H???@~},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 6.0, 3.0]"
H???@~^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 6.0, 7.0]"
